,price,event_date,product_content_id,sold_count,visit_count,favored_count,basket_count,category_sold,category_brand_sold,category_visits,ty_visits,category_basket,category_favored,w_day,Month,weeknumber
1,87.14,18/06/2021,85004,57,2144,299,271,2772,286,114848,91784941,14440,15512,Fri,Jun,24
2,86.78,17/06/2021,85004,79,2729,538,332,2927,350,117287,102409626,14701,15084,Thu,Jun,24
3,87.42,16/06/2021,85004,81,2850,408,336,3154,360,134400,105918459,16617,18419,Wed,Jun,24
4,88.08,15/06/2021,85004,78,2989,423,344,3504,389,137894,103541571,17365,19431,Tue,Jun,24
5,89.2,14/06/2021,85004,47,2796,458,298,3159,295,139775,107738598,17284,19610,Mon,Jun,24
6,86.4,13/06/2021,85004,95,4081,685,442,3895,417,166996,124336805,20152,23315,Sun,Jun,24
7,87.08,12/06/2021,85004,56,3006,452,297,3502,333,152356,94869229,18143,23074,Sat,Jun,24
8,92.86,11/06/2021,85004,87,4431,1573,577,3614,440,157176,97396151,19913,26362,Fri,Jun,24
9,93.22,10/06/2021,85004,108,4580,1631,571,3450,498,144133,108667708,17960,21572,Thu,Jun,23
10,92.21,09/06/2021,85004,73,2728,432,363,3507,408,141099,111697887,18691,19164,Wed,Jun,23
11,85.01,08/06/2021,85004,64,2691,339,322,3321,306,148087,102143446,18617,19570,Tue,Jun,23
12,85.11,07/06/2021,85004,68,2928,431,298,3402,314,153344,100674727,18708,21261,Mon,Jun,23
13,84.94,06/06/2021,85004,88,3591,491,498,4260,387,187478,122742173,24583,25471,Sun,Jun,23
14,85.27,05/06/2021,85004,68,5561,2687,550,3481,443,163124,99529251,22811,21796,Sat,Jun,23
15,86.8,04/06/2021,85004,82,3502,481,511,5286,540,211769,109059369,32276,29297,Fri,Jun,23
16,84.78,03/06/2021,85004,83,4014,716,582,8021,740,301183,131753581,46883,50502,Thu,Jun,22
17,85.63,02/06/2021,85004,87,4263,664,537,8556,1060,343110,143524682,57734,59769,Wed,Jun,22
18,85.56,01/06/2021,85004,127,7233,1794,892,8035,1328,316971,156205012,48776,52906,Tue,Jun,22
19,87.395625,31/05/2021,85004,80,6002,1642,744,5048,743,236197,125439876,33681,40472,Mon,May,22
20,88.62941176,30/05/2021,85004,85,5265,1104,633,4117,430,215260,131821083,25181,36225,Sun,May,22
21,89.57701493,29/05/2021,85004,67,4925,913,570,3872,437,198431,129670029,23790,31700,Sat,May,22
22,89.22423077,28/05/2021,85004,52,3774,868,397,309,25401,3057,103514886,163110,18821,Fri,May,22
23,87.25352113,27/05/2021,85004,71,4189,985,515,411,25610,3589,107391579,176215,21144,Thu,May,21
24,82.2264,26/05/2021,85004,125,5641,932,982,971,30844,5107,106195988,217245,30724,Wed,May,21
25,83.73764706,25/05/2021,85004,85,3816,583,534,329,22617,3389,107004119,165408,19949,Tue,May,21
26,81.555,24/05/2021,85004,146,4516,711,569,440,27106,3897,108235639,179147,20897,Mon,May,21
27,84.38684211,23/05/2021,85004,114,5187,1115,692,439,32458,4090,134993625,208189,24031,Sun,May,21
28,89.04423077,22/05/2021,85004,104,5424,1290,616,440,31166,4172,133292217,210202,23945,Sat,May,21
29,89.34,21/05/2021,85004,95,5219,917,546,373,35870,3586,114325622,197485,22034,Fri,May,21
30,89.9,20/05/2021,85004,77,4802,950,512,366,26065,3621,110621993,180509,20196,Thu,May,20
31,88.88317647,19/05/2021,85004,85,5005,711,507,356,22732,3707,111518681,177962,20538,Wed,May,20
32,89.95053191,18/05/2021,85004,94,5381,827,607,401,27358,4478,113480040,209982,24243,Tue,May,20
33,88.49583333,17/05/2021,85004,72,5399,1088,561,466,30528,5057,118545626,230707,27915,Mon,May,20
34,84.27959184,16/05/2021,85004,98,6392,1034,832,735,40702,6285,153342268,284784,36023,Sun,May,20
35,80.50202703,15/05/2021,85004,222,8325,2027,1141,663,38214,6344,149170542,278584,35993,Sat,May,20
36,80.60280899,14/05/2021,85004,178,6892,1121,1030,669,34275,5703,146822154,263219,33983,Fri,May,20
37,81.27058824,13/05/2021,85004,170,5691,696,885,622,28722,5205,136620621,232162,31291,Thu,May,19
38,82.19850746,12/05/2021,85004,134,7063,1471,1010,808,38639,5992,151085860,281094,36755,Wed,May,19
39,86.28960317,11/05/2021,85004,126,5356,858,688,533,38712,5652,155978280,270987,32751,Tue,May,19
40,84.99123529,10/05/2021,85004,170,6550,897,897,676,46706,7043,169430096,312364,39261,Mon,May,19
41,80.85153374,09/05/2021,85004,163,5786,828,862,771,40328,6653,168024408,278533,35558,Sun,May,19
42,80.91910828,08/05/2021,85004,157,6137,1119,908,940,39409,6977,167585151,283462,37926,Sat,May,19
43,80.67613636,07/05/2021,85004,176,7058,1169,983,1010,35963,6524,166533816,274608,34597,Fri,May,19
44,80.96951872,06/05/2021,85004,187,8076,1774,1108,1063,38270,6533,167347054,280364,35723,Thu,May,18
45,80.30540541,05/05/2021,85004,148,5716,906,834,782,35670,5731,163703836,269627,33524,Wed,May,18
46,81.08881119,04/05/2021,85004,143,5456,897,874,864,37322,5560,165351961,273927,33025,Tue,May,18
47,81.69166667,03/05/2021,85004,108,5614,1027,774,753,34642,5302,168766437,260151,31495,Mon,May,18
48,82.48701493,02/05/2021,85004,67,4134,1188,429,444,34832,4547,169038376,235009,28098,Sun,May,18
49,82.44444444,01/05/2021,85004,72,3854,535,551,581,35433,5261,167166342,247973,33621,Sat,May,18
50,78.7822905,30/04/2021,85004,179,6724,1661,1114,981,42077,7778,166390910,309068,46802,Fri,Apr,18
51,78.55338798,29/04/2021,85004,183,6081,819,970,1209,51359,9915,165272801,367675,53895,Thu,Apr,17
52,78.90850575,28/04/2021,85004,174,5824,999,866,1039,73350,9860,169419187,467288,68838,Wed,Apr,17
53,79.38156627,27/04/2021,85004,166,6390,1359,893,1190,65571,8908,178545693,409770,59836,Tue,Apr,17
54,82.09767442,26/04/2021,85004,86,4260,689,517,897,40497,5241,138166259,274371,36671,Mon,Apr,17
55,84.2,25/04/2021,85004,64,3863,801,413,384,44103,4078,141577160,249325,27693,Sun,Apr,17
56,84.27982759,24/04/2021,85004,58,3524,700,375,396,39001,4061,141692633,238604,26943,Sat,Apr,17
57,83.25789474,23/04/2021,85004,57,2935,470,360,362,32112,3838,132336200,209770,24814,Fri,Apr,17
58,84.09482759,22/04/2021,85004,58,2741,397,313,422,28072,3614,112689057,190747,22832,Thu,Apr,16
59,83.17666667,21/04/2021,85004,48,2760,396,321,443,27604,4028,122353032,195225,24531,Wed,Apr,16
60,85.18965517,20/04/2021,85004,58,3026,465,331,454,28991,4055,121129730,199794,24470,Tue,Apr,16
61,86.09061538,19/04/2021,85004,65,3171,426,380,475,29857,4397,118960272,210016,25549,Mon,Apr,16
62,83.50239437,18/04/2021,85004,71,3458,550,436,492,39654,4610,141122774,247769,29518,Sun,Apr,16
63,84.07985915,17/04/2021,85004,71,3232,548,368,480,37050,4494,136161033,233825,28578,Sat,Apr,16
64,84.57014493,16/04/2021,85004,69,3454,557,441,449,40174,4196,113739321,247751,32931,Fri,Apr,16
65,83.94877778,15/04/2021,85004,90,3770,567,502,565,50846,6122,110483850,274305,39572,Thu,Apr,15
66,85.54428571,14/04/2021,85004,49,3183,544,409,459,39568,4599,107502305,233736,31367,Wed,Apr,15
67,86.36415094,13/04/2021,85004,53,3036,593,423,595,33757,4342,93742430,215411,28606,Tue,Apr,15
68,83.27881356,12/04/2021,85004,59,3813,573,507,490,35392,4755,94664899,241878,34991,Mon,Apr,15
69,78.25504348,11/04/2021,85004,115,4859,927,702,876,51393,7283,128491255,318448,50004,Sun,Apr,15
70,77.78123457,10/04/2021,85004,81,4057,634,584,774,48760,6414,123623591,293819,46854,Sat,Apr,15
71,77.78265306,09/04/2021,85004,98,3781,584,545,632,41134,5211,98458217,243958,36342,Fri,Apr,15
72,77.81048077,08/04/2021,85004,104,4620,696,583,756,41646,6655,105908791,281926,42036,Thu,Apr,14
73,77.53292683,07/04/2021,85004,205,5990,886,885,1115,64250,10250,119409207,390930,64914,Wed,Apr,14
74,77.82260606,06/04/2021,85004,165,6377,1077,871,952,68792,9392,128558035,400477,69429,Tue,Apr,14
75,78.72148936,05/04/2021,85004,141,6140,1172,799,936,56879,8302,139217259,353321,55259,Mon,Apr,14
76,78.47714286,04/04/2021,85004,98,5240,894,716,802,51751,6170,139955144,312029,45657,Sun,Apr,14
77,80.57847619,03/04/2021,85004,105,5936,2254,646,518,37283,3764,113998577,217314,27611,Sat,Apr,14
78,79.86365591,02/04/2021,85004,93,5107,1730,583,453,29986,3205,99272327,177515,22959,Fri,Apr,14
79,80.85951613,01/04/2021,85004,62,3496,519,438,527,34055,3354,94690795,193219,25521,Thu,Apr,13
80,80.66842105,31/03/2021,85004,57,3414,917,421,529,36336,3926,97565790,204028,24787,Wed,Mar,13
81,80.66355932,30/03/2021,85004,59,3742,1337,461,543,34843,3734,96344809,199044,24370,Tue,Mar,13
82,80.60925926,29/03/2021,85004,54,2865,574,366,557,31041,3454,93829264,186203,21359,Mon,Mar,13
83,80.2255814,28/03/2021,85004,43,3287,958,449,546,42407,3903,104071109,208084,24021,Sun,Mar,13
84,80.12222222,27/03/2021,85004,45,4389,2856,565,462,34523,3284,87307349,177683,20708,Sat,Mar,13
85,81.79285714,26/03/2021,85004,42,2620,643,307,515,34558,3568,94014202,189299,21200,Fri,Mar,13
86,87.38275862,25/03/2021,85004,29,2674,891,263,479,34749,3556,97878461,192701,21756,Thu,Mar,12
87,87.37741935,24/03/2021,85004,31,2428,462,264,517,32354,4056,101897286,193657,24379,Wed,Mar,12
88,88.22826087,23/03/2021,85004,46,2637,487,340,557,30957,3954,106099329,198348,24524,Tue,Mar,12
89,85.72631579,22/03/2021,85004,38,2736,486,316,528,34528,3967,96102096,198509,22939,Mon,Mar,12
90,81.47432432,21/03/2021,85004,74,3401,646,416,373,29992,3512,110622245,184588,21573,Sun,Mar,12
91,80.60847458,20/03/2021,85004,59,2380,412,330,333,25800,3072,95372662,157055,19268,Sat,Mar,12
92,81.07678571,19/03/2021,85004,56,2297,409,285,341,28573,3229,102330747,168968,20225,Fri,Mar,12
